year,month,anomaly_c
1941,Sep,0.02
1941,Oct,0.35
1941,Nov,0.22
1941,Dec,0.21
1942,Jan,0.29
1942,Feb,0.02
1942,Mar,0.05
1942,Apr,0.09
1942,May,0.11
1942,Jun,0.04
1942,Jul,0.0
1942,Aug,-0.04
1942,Sep,-0.03
1942,Oct,0.01
1942,Nov,0.09
1942,Dec,0.12
1943,Jan,-0.01
1943,Feb,0.17
1943,Mar,-0.04
1943,Apr,0.11
1943,May,0.06
1943,Jun,-0.05
1943,Jul,0.08
1943,Aug,0.01
1943,Sep,0.05
1943,Oct,0.23
1943,Nov,0.2
1943,Dec,0.23
1944,Jan,0.35
1944,Feb,0.24
1944,Mar,0.26
1944,Apr,0.19
1944,May,0.18
1944,Jun,0.15
1944,Jul,0.17
1944,Aug,0.18
1944,Sep,0.28
1944,Oct,0.27
1944,Nov,0.11
1944,Dec,0.04
1945,Jan,0.1
1945,Feb,0.01
1945,Mar,0.06
1945,Apr,0.2
1945,May,0.06
1945,Jun,0.01
1945,Jul,0.04
1945,Aug,0.26
1945,Sep,0.2
1945,Oct,0.19
1945,Nov,0.07
1945,Dec,-0.07
1946,Jan,0.15
1946,Feb,0.03
1946,Mar,0.01
1946,Apr,0.06
1946,May,-0.07
1946,Jun,-0.21
1946,Jul,-0.12
1946,Aug,-0.2
1946,Sep,-0.07
1946,Oct,-0.08
1946,Nov,-0.05
1946,Dec,-0.31
1947,Jan,-0.07
1947,Feb,-0.08
1947,Mar,0.07
1947,Apr,0.06
1947,May,-0.01
1947,Jun,-0.02
1947,Jul,-0.04
1947,Aug,-0.07
1947,Sep,-0.12
1947,Oct,0.08
1947,Nov,0.03
1947,Dec,-0.13
1948,Jan,0.06
1948,Feb,-0.15
1948,Mar,-0.24
1948,Apr,-0.12
1948,May,-0.01
1948,Jun,-0.05
1948,Jul,-0.11
1948,Aug,-0.11
1948,Sep,-0.14
1948,Oct,-0.05
1948,Nov,-0.12
1948,Dec,-0.23
1949,Jan,0.07
1949,Feb,-0.14
1949,Mar,-0.02
1949,Apr,-0.11
1949,May,-0.1
1949,Jun,-0.27
1949,Jul,-0.13
1949,Aug,-0.13
1949,Sep,-0.14
1949,Oct,-0.06
1949,Nov,-0.1
1949,Dec,-0.18
1950,Jan,-0.26
1950,Feb,-0.27
1950,Mar,-0.07
1950,Apr,-0.21
1950,May,-0.11
1950,Jun,-0.05
1950,Jul,-0.08
1950,Aug,-0.16
1950,Sep,-0.11
1950,Oct,-0.2
1950,Nov,-0.34
1950,Dec,-0.22
1951,Jan,-0.34
1951,Feb,-0.41
1951,Mar,-0.2
1951,Apr,-0.14
1951,May,0.0
1951,Jun,-0.07
1951,Jul,-0.01
1951,Aug,0.06
1951,Sep,0.05
1951,Oct,0.08
1951,Nov,-0.01
1951,Dec,0.16
1952,Jan,0.11
1952,Feb,0.11
1952,Mar,-0.08
1952,Apr,0.03
1952,May,-0.03
1952,Jun,-0.03
1952,Jul,0.04
1952,Aug,0.05
1952,Sep,0.07
1952,Oct,0.0
1952,Nov,-0.13
1952,Dec,-0.02
1953,Jan,0.07
1953,Feb,0.15
1953,Mar,0.11
1953,Apr,0.19
1953,May,0.11
1953,Jun,0.12
1953,Jul,0.01
1953,Aug,0.05
1953,Sep,0.04
1953,Oct,0.08
1953,Nov,-0.03
1953,Dec,0.05
1954,Jan,-0.25
1954,Feb,-0.1
1954,Mar,-0.15
1954,Apr,-0.14
1954,May,-0.2
1954,Jun,-0.19
1954,Jul,-0.19
1954,Aug,-0.17
1954,Sep,-0.1
1954,Oct,-0.02
1954,Nov,0.08
1954,Dec,-0.18
1955,Jan,0.13
1955,Feb,-0.16
1955,Mar,-0.32
1955,Apr,-0.22
1955,May,-0.2
1955,Jun,-0.13
1955,Jul,-0.11
1955,Aug,0.02
1955,Sep,-0.11
1955,Oct,-0.05
1955,Nov,-0.25
1955,Dec,-0.28
1956,Jan,-0.13
1956,Feb,-0.24
1956,Mar,-0.21
1956,Apr,-0.28
1956,May,-0.29
1956,Jun,-0.15
1956,Jul,-0.09
1956,Aug,-0.26
1956,Sep,-0.19
1956,Oct,-0.23
1956,Nov,-0.15
1956,Dec,-0.07
1957,Jan,-0.09
1957,Feb,-0.03
1957,Mar,-0.05
1957,Apr,0.0
1957,May,0.09
1957,Jun,0.15
1957,Jul,0.02
1957,Aug,0.15
1957,Sep,0.08
1957,Oct,0.01
1957,Nov,0.08
1957,Dec,0.15
1958,Jan,0.39
1958,Feb,0.22
1958,Mar,0.08
1958,Apr,0.01
1958,May,0.06
1958,Jun,-0.09
1958,Jul,0.05
1958,Aug,-0.05
1958,Sep,-0.03
1958,Oct,0.04
1958,Nov,0.02
1958,Dec,0.01
1959,Jan,0.08
1959,Feb,0.07
1959,Mar,0.18
1959,Apr,0.16
1959,May,0.04
1959,Jun,0.03
1959,Jul,0.03
1959,Aug,-0.01
1959,Sep,-0.07
1959,Oct,-0.07
1959,Nov,-0.08
1959,Dec,-0.01
1960,Jan,0.0
1960,Feb,0.13
1960,Mar,-0.35
1960,Apr,-0.15
1960,May,-0.08
1960,Jun,-0.04
1960,Jul,-0.04
1960,Aug,0.02
1960,Sep,0.07
1960,Oct,0.06
1960,Nov,-0.11
1960,Dec,0.19
1961,Jan,0.07
1961,Feb,0.19
1961,Mar,0.09
1961,Apr,0.13
1961,May,0.12
1961,Jun,0.11
1961,Jul,0.01
1961,Aug,0.01
1961,Sep,0.08
1961,Oct,0.0
1961,Nov,0.03
1961,Dec,-0.16
1962,Jan,0.05
1962,Feb,0.15
1962,Mar,0.1
